full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,75977,75977,12238,26,26,3,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,52914,52914,8493,49,49,5,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9649,9649,14620,0,0,-2,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1776,1776,2600,2,2,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,53441,53441,4659,15,15,4,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65575,65575,6524,6,6,0,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30512,30512,3456,4,4,1,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37048,37048,3113,4,4,1,https://github.com/musistudio/claude-code-router
Donchitos/Claude-Code-Game-Studios,24797,24797,3543,11,11,-2,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24832,24832,2874,5,5,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3293,3293,3812,1,1,-1,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8783,8783,2116,1,1,1,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2335,2335,3527,1,1,-1,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12565,12565,2045,6,6,2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3885,3885,2056,2,2,2,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1552,1552,3002,1,1,1,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,10026,10026,811,6,6,1,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10014,10014,1230,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9619,9619,721,2,2,1,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2820,2820,2456,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,792,792,1758,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4163,4163,821,1,1,0,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,15689,15689,1364,15,15,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6057,6057,573,2,2,1,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5880,5880,770,2,2,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,627,627,1306,0,0,0,https://github.com/huangserva/claude-code-cli
nicedreamzapp/claude-code-local,3256,3256,621,1,1,0,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3891,3891,563,0,0,0,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,6155,6155,671,3,3,3,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2584,2584,925,0,0,2,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4600,4600,462,1,1,0,https://github.com/zebbern/claude-code-guide
Windy3f3f3f3f/how-claude-code-works,3579,3579,703,2,2,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
1rgs/claude-code-proxy,3741,3741,489,1,1,0,https://github.com/1rgs/claude-code-proxy
